TotalSteps,TotalDistance,VeryActiveDistance,VeryActiveMinutes,SedentaryMinutes,Calories,WeightKg,BMI,Value,AverageIntensity,TotalTimeInBed
13162,8.5,1.87999999523163,25,728,1985,52.5999984741211,22.6499996185303,97,0.333333,346.0
10735,6.96999979019165,1.57000005245209,21,776,1797,52.5999984741211,22.6499996185303,88,0.233333,407.0
10460,6.73999977111816,2.44000005722046,30,1218,1776,133.5,47.5400009155273,83,0.066667,442.0
9762,6.28000020980835,2.14000010490417,29,726,1745,56.7000007629395,21.4500007629395,79,0.1,367.0
12669,8.15999984741211,2.71000003814697,36,773,1863,57.2999992370605,21.6900005340576,63,0.25,712.0
9705,6.48000001907349,3.19000005722046,38,539,1728,72.4000015258789,27.4500007629395,73,0.0,320.0
13019,8.59000015258789,3.25,42,1149,1921,72.3000030517578,27.3799991607666,80,0.35,377.0
15506,9.88000011444092,3.52999997138977,50,775,2035,69.6999969482422,27.25,81,0.0,364.0
10544,6.67999982833862,1.96000003814697,28,818,1786,70.3000030517578,27.4599990844727,79,0.033333,384.0
9819,6.34000015258789,1.3400000333786,19,838,1775,69.9000015258789,27.3199996948242,91,0.033333,449.0
12764,8.13000011444092,4.76000022888184,66,1217,1827,69.1999969482422,27.0400009155273,75,0.0,323.0
14371,9.03999996185303,2.80999994277954,41,732,1949,69.0999984741211,27.0,74,0.15,274.0
10039,6.40999984741211,2.92000007629395,39,709,1788,90.6999969482422,28.0,60,0.166667,393.0
15355,9.80000019073486,5.28999996185303,73,814,2013,62.5,24.3899993896484,70,0.133333,354.0
13755,8.78999996185303,2.32999992370605,31,833,1970,62.0999984741211,24.2399997711182,105,0.066667,425.0
18134,12.210000038147,6.40000009536743,78,1108,2159,61.7000007629395,24.1000003814697,62,0.166667,396.0
13154,8.52999973297119,3.53999996185303,48,782,1898,61.5,24.0,70,0.0,309.0
11181,7.15000009536743,1.05999994277954,16,815,1837,62.0,24.2099990844727,72,0.15,296.0
14673,9.25,3.55999994277954,52,712,1947,61.4000015258789,23.9599990844727,114,0.016667,264.0
10602,6.80999994277954,2.28999996185303,33,730,1820,61.2000007629395,23.8899993896484,71,0.15,367.0
14727,9.71000003814697,3.21000003814697,41,798,2004,61.4000015258789,23.9599990844727,88,0.0,349.0
15103,9.65999984741211,3.73000001907349,50,816,1990,61.7000007629395,24.1000003814697,56,0.05,611.0
11100,7.15000009536743,2.46000003814697,36,1179,1819,61.4000015258789,23.9599990844727,64,0.283333,342.0
14070,8.89999961853027,2.92000007629395,45,857,1959,61.4000015258789,23.9599990844727,93,0.1,403.0
12159,8.02999973297119,1.97000002861023,24,754,1896,61.5,24.0,102,0.2,306.0
11992,7.71000003814697,2.46000003814697,37,833,1821,61.5,24.0,70,0.15,127.0
10060,6.57999992370605,3.52999997138977,44,574,1740,61.7000007629395,24.1000003814697,82,0.133333,142.0
12022,7.71999979019165,3.45000004768372,46,835,1819,61.2000007629395,23.8899993896484,77,0.15,961.0
12207,7.76999998092651,3.34999990463257,46,746,1859,61.2000007629395,23.8899993896484,72,0.0,154.0
12770,8.13000011444092,2.55999994277954,36,669,1783,61.4000015258789,23.9599990844727,96,0.233333,961.0
0,0.0,0.0,0,1440,0,61.0,23.8199996948242,87,0.016667,961.0
8163,5.30999994277954,0.0,0,1294,1432,61.7000007629395,24.1000003814697,83,0.0,961.0
7007,4.55000019073486,0.0,0,1292,1411,61.5,24.0,63,0.0,775.0
9107,5.92000007629395,0.0,0,1204,1572,61.0,23.8199996948242,101,0.0,422.0
1510,0.980000019073486,0.0,0,1344,1344,61.0999984741211,23.8500003814697,66,0.0,499.0
5370,3.49000000953674,0.0,0,1264,1463,61.2999992370605,23.9300003051758,67,0.0,315.0
6175,4.05999994277954,1.02999997138977,15,1276,1554,61.5,24.0,70,0.0,178.0
10536,7.40999984741211,2.15000009536743,17,1214,1604,61.2000007629395,23.8899993896484,47,0.0,546.0
2916,1.89999997615814,0.0,0,1299,1435,61.2000007629395,23.8899993896484,81,0.0,565.0
4974,3.23000001907349,0.0,0,1289,1446,62.4000015258789,24.3500003814697,79,0.033333,568.0
6349,4.13000011444092,0.0,0,1254,1467,62.0999984741211,24.2399997711182,84,0.033333,573.0
4026,2.61999988555908,0.0,0,1241,1470,61.9000015258789,24.1700000762939,80,0.0,567.0
8538,5.55000019073486,0.0,0,1213,1562,61.9000015258789,24.1700000762939,72,0.0,498.0
6076,3.95000004768372,1.14999997615814,16,1221,1617,85.8000030517578,25.6800003051758,117,0.0,540.0
6497,4.21999979019165,0.0,0,1238,1492,84.9000015258789,25.4099998474121,76,0.0,510.0
2826,1.8400000333786,0.0,0,1300,1402,84.5,25.3099994659424,80,0.0,514.0
8367,5.44000005722046,1.11000001430511,17,1233,1670,85.5,25.5900001525879,99,0.0,545.0
2759,1.78999996185303,0.0,0,1320,1401,85.8000030517578,25.6800003051758,69,0.0,554.0
2390,1.54999995231628,0.0,0,1290,1404,85.3000030517578,25.5300006866455,85,0.0,591.0
6474,4.30000019073486,0.899999976158142,11,1182,1655,84.9000015258789,25.4099998474121,69,0.033333,531.0
36019,28.0300006866455,21.9200000762939,186,1020,2690,84.5,25.2900009155273,57,0.0,545.0
